ATC5,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12
J01E E01 Sulfamethoxazole and trimethoprim,56738.12406712913,52101.17891892234,54724.92008521383,31436.65110310393,25810.54560227292,21292.940486465013,26511.69967867558,28822.16271730095,44696.806833058145,55095.851410520816,51517.75395734786,54325.07687966638
J01F A01 Erythromycin,9175.727272104803,8796.790958607422,10224.886673966785,5622.819212411538,4416.329209324605,4101.661173012326,6027.906310119771,5439.017585962991,8065.566572794832,9720.899728417571,8485.323819073028,8696.268257754662
J01F A02 Spiramycin,4555.886905323879,3487.4588732099937,3026.7291275966845,192.73041118383844,0.0,0.0,0.0,0.0,1023.0158343759581,5598.339457074053,5032.522235310327,3856.4671379771444
J01F A03 Midecamycin,1569.7178918174236,1283.5478756576294,1277.7597117434098,353.25662962564854,88.43041294505474,0.0,112.06895816312101,239.79782281587734,728.7019635516968,1343.717525153968,1286.5966234493985,1274.4537510993594
J01F A07 Josamycin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J01F A09 Clarithromycin,39903.48334073165,36459.172191698046,35450.96426346866,15970.596111882664,8064.465381611353,4026.064988391808,6263.048464813676,7821.055036948669,19176.48248565416,40296.80503561605,38318.47246658306,35500.27140235416
J01F A10 Azithromycin,449285.8989583357,403728.7283253963,441257.1004762731,230785.18656650043,144630.74001171006,112268.40202810497,168796.24452999595,208558.18582026174,417669.51203691075,647566.7908786917,502998.7658948517,453962.3494266926
J01F F01 Clindamycin,9604.262027055784,9802.233503427882,9128.469133747909,8266.376691561229,8871.3950279967,9417.623612813917,10264.100594320324,10390.809542363664,10114.700339873183,10448.079846766363,10069.20699154572,9601.40002567121
J01F F02 Lincomycin,39044.71203451121,37007.30210849605,37352.97012556109,30037.884497090323,31263.54675219089,32122.33891414854,37994.990601591846,37609.08430942367,37665.63563356633,38886.791450757635,38121.14926238786,39150.91906956925
J01G A01 Streptomycin,5998.426003840236,5861.504633830135,8159.703671414718,7699.09783507505,8839.41649959598,8564.617964805388,10424.668070565576,9385.710288766395,8869.862196919716,7755.159057035036,6779.959078719956,6723.358829660556
J01G B01 Tobramycin,651.3106337112841,616.445891629431,645.9048786128075,566.0932613972216,588.1680531868222,633.2840721378348,627.9379617242771,658.3811984400003,665.2478224103497,725.200036248205,708.3700689126376,760.1027253322732
J01G B03 Gentamicin,4934.163852285665,4588.363304003365,5117.165248817368,3552.469588108415,3369.6246429810994,3254.4390703190893,4123.424995629326,4075.12371931736,4529.73148170763,5386.796875059694,5179.303573181186,5265.076115118226
J01G B04 Kanamycin,34.02671807806661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J01G B06 Amikacin,13819.978389349764,11351.944497111408,9685.225801159015,4543.030462235376,1452.5622089347635,2228.4628241325536,2471.070534129083,3870.04951996459,7085.0179264712915,15215.047469514931,16934.365121788138,15450.744461444987
J01M A01 Ofloxacin,14045.621072538206,12366.186219712084,11911.702923973213,7603.165550157355,9642.222617323427,10990.637990220901,12389.092264199333,10993.033954903049,10727.412937568646,12617.703773092637,11679.119949691654,12570.288385453225
J01M A02 Ciprofloxacin,83080.48656025754,80195.85763473078,83204.40717290867,63181.5473309307,63293.184803969496,68243.49681178844,78417.65614593793,79709.31658331765,83090.15794490385,90753.73509013248,85259.03909355083,88016.75175856178
J01M A03 Pefloxacin,61.97228659163571,45.32806202697194,40.96424985753218,25.96232946355524,19.21370625626798,3.8217153763359164,0.0,5.310640713884716,1.5979066120443157,6.056510382286746,2.6874851310078967,6.705812309283832
J01M A06 Norfloxacin,28393.40657811673,26725.72867801714,27498.25003501655,20612.760926760173,20089.390297275306,21089.446745553767,25260.253951756582,24599.7096114266,24120.11856417597,27049.897885751714,26951.864677733043,28044.241007567653
J01M A07 Lomefloxacin,403.1004240852817,402.0851750506636,92.21283845147698,0.0,0.0,0.0,310.5856221915748,238.40330930674554,311.24612162739015,427.03263411241346,419.30330672894013,344.83730745066964
J01M A12 Levofloxacin,69538.11429256646,54997.776228350456,50855.486643044824,0.0,0.0,0.0,0.0,0.0,23475.273977531524,176686.06773123285,164374.9435921363,98370.08349389934
J01M A14 Moxifloxacin,11024.329099943594,7757.991288713719,11219.412523731058,9111.412062659181,0.0,0.0,0.0,0.0,4415.48876267927,29333.967328853752,25739.039778054088,15403.578900142518
J01M A16 Gatifloxacin,163.6109367877086,168.8028660805801,250.8023351608897,0.0,0.0,0.0,0.0,0.0,0.0,418.2959190336112,623.1529826914175,514.2929592636751
J01M B04 Pipemidic acid,7232.799211893244,6666.9464383077375,5948.6264585057415,4380.210313730551,3701.7872369768074,3428.5946146402193,3674.9531558373546,3761.5922278614717,3596.108924547173,3727.134920962141,4288.935557160522,5023.3559051856355
J01R A05 Levofloxacine and ornidazole,247.22561015086262,416.4828308278179,162.07681659416693,0.0,0.0,134.45516514795213,429.4979209494129,549.928334815366,590.3764751329138,916.084796611736,886.0184630195793,829.680405370638
J01R A09 Ofloxacin and ornidazole,18256.22161598636,18974.019812766597,16498.07185649254,11733.555777775047,12383.998001102798,13557.30766606675,15782.515684339665,16090.22798525975,16578.14091229756,17858.41514022956,18901.028808876923,19229.91883009655
J01R A11 Ciprofloxacin and tinidazole,9233.335057890956,8798.82967364773,8396.954456333728,6168.014572563101,7014.355355627176,7948.032272159018,9598.075295465067,9630.306404190487,9103.5143812514,9076.883852980707,8919.84972044473,8864.367904496528
J01R A12 Ciprofloxacin and ornidazole,10835.708730198037,11075.763471425102,9613.629229452594,7565.762200920437,8283.208143140557,8627.829661962496,9861.044442065897,10021.581831194462,10271.07370754316,11214.143973667968,11623.425351613656,11189.786419016054
J01X A01 Vancomycin,977.1734970829903,800.0631855432007,369.1707037467698,433.86168574502267,72.43463877902492,0.0,0.0,0.0,0.0,1595.333703275926,2531.6728574161402,3157.0727481637077
